Jornada;formato_jornada;equipo_local;equipo_visitante;id_fotmob;url_fotmob;id_whoscored;url_whoscored;id_understat;url_fbref;url_sofascore;ruta_estadisticas
1ª;1ª VIL-ATM;Villarreal CF;Atletico de Madrid;4506749;https://www.fotmob.com/es/matches/atletico-madrid-vs-villarreal/3ceu3u#4506749;1821433;https://es.whoscored.com/matches/1821433/live/españa-laliga-2024-2025-villarreal-atletico-madrid;26991;https://fbref.com/es/partidos/2a59dd47/Villarreal-Atletico-Madrid-Agosto-19-2024-La-Liga;12437610;data\Estadisticas jornadas 2\match_stats_24_25.csv
2ª;2ª ATM-GIR;Atletico de Madrid;Girona FC;4509756;https://www.fotmob.com/es/matches/girona-vs-atletico-madrid/2kmd87#4506756;1821438;https://es.whoscored.com/matches/1821438/live/españa-laliga-2024-2025-atletico-madrid-girona;27001;https://fbref.com/es/partidos/c6c0a3d3/Atletico-Madrid-Girona-Agosto-25-2024-La-Liga;12437628;data\Estadisticas jornadas 2\match_stats_24_25.csv
3ª;3ª ATM-ESP;Atletico de Madrid;RCD Español;4506775;https://www.fotmob.com/es/matches/espanyol-vs-atletico-madrid/2thy9u#4506775;1825692;https://es.whoscored.com/matches/1825692/live/españa-laliga-2024-2025-atletico-madrid-espanyol;27009;https://fbref.com/es/partidos/ef04c85d/Atletico-Madrid-Espanyol-Agosto-28-2024-La-Liga;12437681;data\Estadisticas jornadas 2\match_stats_24_25.csv
4ª;4ª ATH-ATM;Athletic Club;Atletico de Madrid;4506776;https://www.fotmob.com/es/matches/athletic-club-vs-atletico-madrid/2queyl#4506776;1821456;https://es.whoscored.com/matches/1821456/live/españa-laliga-2024-2025-athletic-club-atletico-madrid;27013;https://fbref.com/es/partidos/d554e8b9/Athletic-Club-Atletico-Madrid-Agosto-31-2024-La-Liga;12437684;data\Estadisticas jornadas 2\match_stats_24_25.csv
5ª;5ª ATM-VAL;Atletico de Madrid;Valencia CF;4506786;https://www.fotmob.com/es/matches/atletico-madrid-vs-valencia/3d5lpp#4506786;1821465;https://es.whoscored.com/matches/1821465/live/españa-laliga-2024-2025-atletico-madrid-valencia;27023;https://fbref.com/es/partidos/e1e5325c/Atletico-Madrid-Valencia-Septiembre-15-2024-La-Liga;12437709;data\Estadisticas jornadas 2\match_stats_24_25.csv
6ª;6ª RAY-ATM;Rayo Vallecano;Atletico de Madrid;45068016;https://www.fotmob.com/es/matches/rayo-vallecano-vs-atletico-madrid/2rfxf0#45068016;1821478;https://es.whoscored.com/matches/1821478/live/españa-laliga-2024-2025-rayo-vallecano-atletico-madrid;27036;https://fbref.com/es/partidos/75fab2fb/Rayo-Vallecano-Atletico-Madrid-Septiembre-22-2024-La-Liga;12437744;data\Estadisticas jornadas 2\match_stats_24_25.csv
7ª;7ª CEL-ATM;RC Celta de Vigo;Atletico de Madrid;4506813;https://www.fotmob.com/es/matches/atletico-madrid-vs-celta-vigo/38wlu2#4506813;1821488;https://es.whoscored.com/matches/1821488/live/españa-laliga-2024-2025-celta-vigo-atletico-madrid;27048;https://fbref.com/es/partidos/01197df1/Celta-Vigo-Atletico-Madrid-Septiembre-26-2024-La-Liga;12437774;data\Estadisticas jornadas 2\match_stats_24_25.csv
8ª;8ª ATM-RMA;Atletico de Madrid;Real Madrid;4506819;https://www.fotmob.com/es/matches/real-madrid-vs-atletico-madrid/2ubozo#4506819;1821493;https://es.whoscored.com/matches/1821493/live/españa-laliga-2024-2025-atletico-madrid-real-madrid;27053;https://fbref.com/es/partidos/0df1f571/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-Septiembre-29-2024-La-Liga;12437787;data\Estadisticas jornadas 2\match_stats_24_25.csv
9ª;9ª RSO-ATM;Real Sociedad;Atletico de Madrid;4506841;https://www.fotmob.com/es/matches/real-sociedad-vs-atletico-madrid/2tiqrp#4506841;1821513;https://es.whoscored.com/matches/1821513/live/españa-laliga-2024-2025-real-sociedad-atletico-madrid;27067;https://fbref.com/es/partidos/069145b6/Real-Sociedad-Atletico-Madrid-Octubre-6-2024-La-Liga;12437826;data\Estadisticas jornadas 2\match_stats_24_25.csv
10ª;10ª ATM-LEG;Atletico de Madrid;CD Leganes;4506845;https://www.fotmob.com/es/matches/leganes-vs-atletico-madrid/2lwndu#4506845;1821517;https://es.whoscored.com/matches/1821517/live/españa-laliga-2024-2025-atletico-madrid-leganes;27073;https://fbref.com/es/partidos/d32fffe0/Atletico-Madrid-Leganes-Octubre-20-2024-La-Liga;12437835;data\Estadisticas jornadas 2\match_stats_24_25.csv
11ª;11ª BET-ATM;Real Betis;Atletico de Madrid;4506858;https://www.fotmob.com/es/matches/real-betis-vs-atletico-madrid/2tzs6l#4506858;1821528;https://es.whoscored.com/matches/1821528/live/españa-laliga-2024-2025-real-betis-atletico-madrid;27084;https://fbref.com/es/partidos/ffc4972d/Real-Betis-Atletico-Madrid-Octubre-27-2024-La-Liga;12437613;data\Estadisticas jornadas 2\match_stats_24_25.csv
12ª;12ª ATM-LPM;Atletico de Madrid;UD Las Palmas;4506866;https://www.fotmob.com/es/matches/las-palmas-vs-atletico-madrid/2qqwgc#4506866;1821536;https://es.whoscored.com/matches/1821536/live/españa-laliga-2024-2025-atletico-madrid-las-palmas;27093;https://fbref.com/es/partidos/60a46aeb/Atletico-Madrid-Las-Palmas-Noviembre-3-2024-La-Liga;12437637;data\Estadisticas jornadas 2\match_stats_24_25.csv
13ª;13ª MLL-ATM;RCD Mallorca;Atletico de Madrid;4506880;https://www.fotmob.com/es/matches/mallorca-vs-atletico-madrid/2umtu6#4506880;1821548;https://es.whoscored.com/matches/1821548/live/españa-laliga-2024-2025-mallorca-atletico-madrid;27107;https://fbref.com/es/partidos/f6040fa5/Mallorca-Atletico-Madrid-Noviembre-10-2024-La-Liga;12437673;data\Estadisticas jornadas 2\match_stats_24_25.csv
