level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,2.0,0.0,0.0,63,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Atletico,Villarreal,,nan,,,0.0,0.0,,nan,1.0,Villarreal
1,2,2.0,0.0,0.0,839,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Villarreal,Atletico,,nan,,,0.0,0.0,,nan,1.0,Villarreal
2,3,3.0,0.0,0.0,839,52.605000000000004,34.068000000000005,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '36.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.70'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '36.5'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '16.9'}]","[91, 117, 30, 35, 38, 216, 218]",True,97659.0,38.325,25.092000000000002,,,,,,,,,,,0.0,,,,6.0,4.0,4.0,2.0,0.01689528,0.01269174,-0.004203539999999999,Villarreal,Atletico,7.0,Gerard Moreno,FW,True,-14.872392936487302,0.0,-147.84770485871766,G. Moreno,1.0,Villarreal
3,4,4.0,0.0,2.0,839,39.06,25.976000000000003,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '73.3'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '39.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '56.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.31'}]","[91, 119, 117, 127, 205, 36, 37, 217, 218]",True,75919.0,76.965,38.080000000000005,,,,,,,,,,,0.03333333333333333,,,,4.0,3.0,8.0,4.0,0.01262646,0.02385149,0.011225029999999999,Villarreal,Atletico,17.0,Kiko Femenia,DR,True,38.09608125696333,0.0,17.7095631483088,K. Femenia,1.0,Villarreal
4,5,4.5,0.0,3.5,839,76.965,38.080000000000005,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,323625.0,76.23,42.704,,,,,,5.0,,,,,0.058333333333333334,,,,9.0,4.0,8.0,5.0,0.03511326,0.0241224,-0.010990860000000002,Villarreal,Atletico,9.0,Arnaut Danjuma,FW,True,0.0,-1.7274890702015995,99.03179213160988,A. Danjuma,1.0,Villarreal
5,6,5.0,0.0,5.0,839,76.23,42.704,0.0,FirstHalf,Aerial,Successful,"[{'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '3'}]","[197, 199]",False,323625.0,,,,,,,,,,,,,0.08333333333333333,,,,,,,,,,,Villarreal,Atletico,9.0,Arnaut Danjuma,FW,True,0.0,0.0,,A. Danjuma,1.0,Villarreal
6,7,3.0,0.0,5.0,63,28.77,25.296000000000003,0.0,FirstHalf,Aerial,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '5'}]","[198, 200]",False,434138.0,,,,,,,,,,,,,0.08333333333333333,,,,,,,,,,,Atletico,Villarreal,8.0,Pablo Barrios,MC,True,0.0,0.0,,P. Barrios,1.0,Villarreal
7,8,6.0,0.0,5.0,839,76.965,38.080000000000005,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '56.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.4'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.00'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '81.3'}]","[91, 120, 29, 139, 36, 217, 218]",True,323625.0,85.365,38.080000000000005,,,,,,,,,,,0.08333333333333333,,,,,,,,,,,Villarreal,Atletico,9.0,Arnaut Danjuma,FW,True,8.275913882276509,0.0,0.0,A. Danjuma,1.0,Villarreal
8,9,4.0,0.0,7.0,63,20.685,32.096000000000004,0.0,FirstHalf,Clearance,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '45.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '31.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '23.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.74'}]","[91, 94, 95, 216]",True,367008.0,47.46000000000001,15.912,,,,,,,,,,,0.11666666666666667,,,,,,,,,,,Atletico,Villarreal,24.0,Robin Le Normand,DC,True,0.0,0.0,-31.150630557988556,R. L. Normand,1.0,Villarreal
9,10,7.0,0.0,10.0,839,63.945,48.824,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.05'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '79.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '19.7'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 178, 'displayName': 'StandingSave'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '65.2'}]","[91, 120, 29, 139, 36, 38, 217, 218]",True,243814.0,83.16000000000001,44.336000000000006,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,Villarreal,Atletico,4.0,Eric Bailly,DC,True,19.486993592339903,0.0,-13.146747035377839,E. Bailly,1.0,Villarreal
