level_0,index,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal_x,cardType_x,isOwnGoal_x,cumulative_mins,isGoal_y,cardType_y,isOwnGoal_y,x1_bin_xT,y1_bin_xT,x2_bin_xT,y2_bin_xT,start_zone_value_xT,end_zone_value_xT,xT,teamName,oppositionTeamName,shirtNo,name,position,isFirstEleven,prog_pass,prog_carry,pass_or_carry_angle,shortName,possession_id,possession_team
0,1,2.0,0.0,0.0,52,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Real Madrid,Atletico,,nan,,,0.0,0.0,,nan,1.0,Real Madrid
1,2,2.0,0.0,0.0,63,0.0,0.0,0.0,FirstHalf,Start,Successful,[],[],False,,,,,,,,,,,,,,0.0,,,,,,,,,,,Atletico,Real Madrid,,nan,,,0.0,0.0,,nan,1.0,Real Madrid
2,3,3.0,0.0,0.0,52,52.605000000000004,34.0,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '23.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.83'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '28.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '60.8'}]","[91, 117, 30, 35, 37, 215, 218]",True,379868.0,29.82,41.344,,,,,,,,,,,0.0,,,,6.0,3.0,3.0,4.0,0.01689528,0.01132376,-0.005571519999999998,Real Madrid,Atletico,5.0,Jude Bellingham,ML,True,-23.14284969139645,0.0,162.1349701859705,J. Bellingham,1.0,Real Madrid
3,4,3.5,0.0,1.5,52,29.82,41.344,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,337879.0,33.075,42.160000000000004,,,,,,4.0,,,,,0.025,,,,3.0,4.0,3.0,4.0,0.01132376,0.01132376,0.0,Real Madrid,Atletico,3.0,Eder Militao,DC,True,0.0,3.1514474807602255,14.073513050384499,E. Militao,1.0,Real Madrid
4,5,4.0,0.0,3.0,52,33.075,42.160000000000004,0.0,FirstHalf,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.68'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '14.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '19.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '50.9'}]","[91, 117, 30, 35, 38, 215, 218]",True,337879.0,20.37,34.612,,,,,,,,,,,0.05,,,,3.0,4.0,2.0,4.0,0.01132376,0.01016549,-0.0011582700000000012,Real Madrid,Atletico,3.0,Eder Militao,DC,True,-12.245810592763874,0.0,-149.28558814730414,E. Militao,1.0,Real Madrid
5,6,4.5,0.0,5.0,52,20.37,34.612,0.0,FirstHalf,Carry,Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,73798.0,24.57,38.964,,,,,,5.0,,,,,0.08333333333333334,,,,2.0,4.0,2.0,4.0,0.01016549,0.01016549,0.0,Real Madrid,Atletico,1.0,Thibaut Courtois,GK,True,0.0,4.049173669845445,46.01824621163094,T. Courtois,1.0,Real Madrid
6,7,5.0,0.0,7.0,52,24.57,38.964,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.75'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '72.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '13.1'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '59.2'}]","[91, 120, 128, 36, 38, 217, 218]",True,73798.0,75.60000000000001,8.908000000000001,,,,,,,,,,,0.11666666666666667,,,,,,,,,,,Real Madrid,Atletico,1.0,Thibaut Courtois,GK,True,41.93115090024838,0.0,-30.49752660237507,T. Courtois,1.0,Real Madrid
7,8,3.0,0.0,11.0,63,28.980000000000004,57.800000000000004,0.0,FirstHalf,Aerial,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '6'}, {'type': {'value': 285, 'displayName': 'Defensive'}}]","[197, 200]",False,361812.0,,,,,,,,,,,,,0.18333333333333332,,,,,,,,,,,Atletico,Real Madrid,23.0,Reinildo,DL,True,0.0,0.0,,Reinildo,1.0,Real Madrid
8,9,6.0,0.0,11.0,52,76.02000000000001,10.200000000000001,0.0,FirstHalf,Aerial,Unsuccessful,"[{'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '3'}]","[198, 199]",False,344644.0,,,,,,,,,,,,,0.18333333333333332,,,,,,,,,,,Real Madrid,Atletico,8.0,Federico Valverde,MR,True,0.0,0.0,,F. Valverde,1.0,Real Madrid
9,10,4.0,0.0,12.0,63,28.245,55.760000000000005,0.0,FirstHalf,Pass,Unsuccessful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '80.8'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.22'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '38.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '12.4'}]","[91, 118, 120, 29, 139, 36, 38, 216, 218]",True,361812.0,40.635000000000005,54.944,,,,,,,,,,,0.2,,,,,,,,,,,Atletico,Real Madrid,23.0,Reinildo,DL,True,12.09305896318537,0.0,-3.768033428372425,Reinildo,1.0,Real Madrid
