Equipo,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38
Athletic Club,9,15,9,13,10,5,5,5,6,5,5,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
CA Osasuna,13,7,13,7,12,7,7,7,5,8,8,5,5,6,7,8,8,10,11,10,11,8,9,9,12,11,14,14,14,13,13,13,13,13,13,13,13,13
CD Leganés,14,6,7,9,15,14,15,16,17,17,14,15,14,14,15,17,15,15,16,15,16,16,17,16,16,16,17,18,18,18,18,18,18,18,18,18,18,18
Club Atlético de Madrid,8,3,5,3,3,3,3,4,3,3,4,3,3,3,3,3,2,2,1,2,2,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
Deportivo Alavés,17,16,10,6,7,6,8,11,13,14,16,14,15,16,16,16,17,16,17,17,17,18,19,19,19,19,18,17,17,17,17,17,17,17,17,17,17,17
FC Barcelona,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Getafe CF,10,11,17,17,18,18,19,15,16,16,15,16,18,15,18,15,16,17,15,16,14,14,14,13,14,14,12,10,11,11,11,11,11,11,11,11,11,11
Girona FC,12,18,8,5,9,12,12,12,11,12,13,12,10,7,8,9,10,8,8,8,8,7,8,10,13,13,13,13,13,14,14,14,14,14,14,14,14,14
RC Celta de Vigo,1,1,3,8,5,8,10,10,9,10,11,10,12,11,12,10,13,11,12,13,13,13,12,14,10,10,9,8,8,7,7,7,7,7,7,7,7,7
RCD Espanyol de Barcelona,20,19,19,15,11,13,14,17,14,15,17,17,17,19,17,18,18,18,18,18,18,17,16,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16
RCD Mallorca,15,17,18,10,13,11,6,6,7,6,7,8,9,8,6,7,6,6,6,6,6,9,10,7,8,8,7,7,9,10,10,10,10,10,10,10,10,10
Rayo Vallecano de Madrid,3,8,11,12,8,9,9,9,8,9,9,9,11,13,13,12,12,12,9,9,7,6,6,6,6,7,8,9,7,9,9,9,9,9,9,9,9,9
Real Betis Balompié,11,12,6,11,6,10,11,8,10,7,6,7,7,9,10,11,9,9,10,12,10,10,11,8,7,6,6,6,6,6,6,6,6,6,6,6,6,6
Real Madrid CF,16,4,4,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2
Real Sociedad de Fútbol,19,9,14,14,16,16,16,14,15,11,12,11,8,10,9,6,7,7,7,7,9,11,7,11,9,9,11,12,10,8,8,8,8,8,8,8,8,8
Real Valladolid CF,4,10,12,16,17,17,18,19,19,18,19,19,19,20,20,20,19,20,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Sevilla FC,6,14,16,19,14,15,13,13,12,13,10,13,13,12,11,13,11,14,13,11,12,12,13,12,11,12,10,11,12,12,12,12,12,12,12,12,12,12
UD Las Palmas,5,13,15,18,19,20,20,20,20,19,18,18,16,17,14,14,14,13,14,14,15,15,15,17,17,17,19,19,19,19,19,19,19,19,19,19,19,19
Valencia CF,18,20,20,20,20,19,17,18,18,20,20,20,20,18,19,19,20,19,20,19,19,19,18,18,18,18,16,16,15,15,15,15,15,15,15,15,15,15
Villarreal CF,7,5,2,4,4,4,4,3,4,4,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
