Jornada,Partido,Equipo,Resultado,Goles,Tiros a Puerta,Tiros Fuera,Tiros Totales,Tiros Bloqueados,Tiros Dentro Area,Tiros Fuera Area,Faltas,Córners,Fueras de Juego,Posesión,Tarjetas Amarillas,Tarjetas Rojas,Paradas,Pases Totales,Pases Completados,Precisión de Pases,xG,Goles Evitados
1,Villarreal-Atletico Madrid,Villarreal,2-2,2,3,4,9,2,6,3,7,2,2,45.0,1,0,2,477,420,88.0,0.79,-1
1,Villarreal-Atletico Madrid,Atletico Madrid,2-2,2,4,4,9,1,7,2,12,3,2,55.0,3,0,2,592,519,88.0,1.11,-1
2,Atletico Madrid-Girona,Atletico Madrid,3-0,3,6,2,11,3,6,5,11,1,2,42.0,1,0,4,462,404,87.0,1.22,-1
2,Atletico Madrid-Girona,Girona,3-0,0,4,3,13,6,7,6,11,9,2,58.0,3,0,3,610,561,92.0,0.68,-1
3,Atletico Madrid-Espanyol,Atletico Madrid,0-0,0,7,10,25,8,18,7,6,9,6,62.0,0,0,1,595,523,88.0,2.47,1
3,Atletico Madrid-Espanyol,Espanyol,0-0,0,1,7,8,0,4,4,9,3,0,38.0,2,0,7,362,289,80.0,0.61,1
4,Athletic Club-Atletico Madrid,Athletic Club,0-1,0,1,5,8,2,2,6,13,2,1,53.0,3,0,1,585,508,87.0,0.29,0
4,Athletic Club-Atletico Madrid,Atletico Madrid,0-1,1,2,4,9,3,7,2,9,2,2,47.0,1,0,1,524,439,84.0,1.73,0
5,Atletico Madrid-Valencia,Atletico Madrid,3-0,3,4,9,14,1,14,0,10,7,1,53.0,1,0,1,515,438,85.0,3.24,0
5,Atletico Madrid-Valencia,Valencia,3-0,0,1,3,5,1,2,3,8,3,2,47.0,2,0,1,465,385,83.0,0.15,0
6,Rayo Vallecano-Atletico Madrid,Rayo Vallecano,1-1,1,4,7,16,5,5,11,9,3,0,55.0,0,0,4,517,418,81.0,1.83,0
6,Rayo Vallecano-Atletico Madrid,Atletico Madrid,1-1,1,5,2,10,3,6,4,12,4,0,45.0,0,0,3,432,334,77.0,0.56,0
7,Celta Vigo-Atletico Madrid,Celta Vigo,0-1,0,4,6,10,0,6,4,11,2,0,58.0,2,0,1,669,588,88.0,1.53,1
7,Celta Vigo-Atletico Madrid,Atletico Madrid,0-1,1,2,2,8,4,4,4,11,3,0,42.0,2,0,4,469,374,80.0,0.62,1
8,Atletico Madrid-Real Madrid,Atletico Madrid,1-1,1,4,2,12,6,8,4,11,5,2,51.0,3,1,3,570,497,87.0,1.28,0
8,Atletico Madrid-Real Madrid,Real Madrid,1-1,1,4,4,12,4,5,7,11,5,0,49.0,1,0,3,548,490,89.0,0.76,0
9,Real Sociedad-Atletico Madrid,Real Sociedad,1-1,1,7,9,16,0,9,7,10,5,2,67.0,0,0,0,648,581,90.0,1.0,0
9,Real Sociedad-Atletico Madrid,Atletico Madrid,1-1,1,1,3,4,0,2,2,9,1,2,33.0,2,0,6,333,243,73.0,0.54,0
10,Atletico Madrid-Leganes,Atletico Madrid,3-1,3,9,8,24,7,15,9,14,8,0,63.0,5,0,1,568,484,85.0,4.51,0
10,Atletico Madrid-Leganes,Leganes,3-1,1,2,1,5,2,2,3,8,2,1,37.0,1,0,5,341,260,76.0,0.24,0
11,Real Betis-Atletico Madrid,Atletico Madrid,1-0,0,3,4,10,3,8,2,4,10,1,58.0,2,0,3,533,415,78.0,0.54,0
11,Real Betis-Atletico Madrid,Real Betis,1-0,1,3,17,24,4,16,8,8,3,3,42.0,3,0,3,380,300,79.0,1.94,0
12,Atletico Madrid-Las Palmas,Las Palmas,2-0,0,1,0,1,0,1,0,13,1,0,43.0,1,0,1,410,314,77.0,0.02,0
12,Atletico Madrid-Las Palmas,Atletico Madrid,2-0,2,3,8,15,4,11,4,13,9,1,57.0,1,0,1,541,455,84.0,1.63,0
13,Mallorca-Atletico Madrid,Atletico Madrid,0-1,1,2,4,9,3,4,5,16,2,1,47.0,3,0,5,479,423,88.0,0.65,0
